"iso3c","year","gdp","gdp_forc20","gap_dollars","gap_relative"
"AFG",2019,100,100,"0",0
"ALB",2019,100,100,"0",0
"DZA",2019,100,100,"0",0
"ASM",2019,100,100,"0",0
"AND",2019,100,100,"0",0
"AGO",2019,100,100,"0",0
"ATG",2019,100,100,"0",0
"ARG",2019,100,100,"0",0
"ARM",2019,100,100,"0",0
"ABW",2019,100,100,"0",0
"AUS",2019,100,100,"0",0
"AUT",2019,100,100,"0",0
"AZE",2019,100,100,"0",0
"BHS",2019,100,100,"0",0
"BHR",2019,100,100,"0",0
"BGD",2019,100,100,"0",0
"BRB",2019,100,100,"0",0
"BLR",2019,100,100,"0",0
"BEL",2019,100,100,"0",0
"BLZ",2019,100,100,"0",0
"BEN",2019,100,100,"0",0
"BMU",2019,100,100,"0",0
"BTN",2019,100,100,"0",0
"BOL",2019,100,100,"0",0
"BIH",2019,100,100,"0",0
"BWA",2019,100,100,"0",0
"BRA",2019,100,100,"0",0
"BRN",2019,100,100,"0",0
"BGR",2019,100,100,"0",0
"BFA",2019,100,100,"0",0
"BDI",2019,100,100,"0",0
"CPV",2019,100,100,"0",0
"KHM",2019,100,100,"0",0
"CMR",2019,100,100,"0",0
"CAN",2019,100,100,"0",0
"CYM",2019,100,100,"0",0
"CAF",2019,100,100,"0",0
"TCD",2019,100,100,"0",0
"CHL",2019,100,100,"0",0
"CHN",2019,100,100,"0",0
"COL",2019,100,100,"0",0
"COM",2019,100,100,"0",0
"COD",2019,100,100,"0",0
"COG",2019,100,100,"0",0
"CRI",2019,100,100,"0",0
"CIV",2019,100,100,"0",0
"HRV",2019,100,100,"0",0
"CUB",2019,100,100,"0",0
"CUW",2019,100,100,"0",0
"CYP",2019,100,100,"0",0
"DNK",2019,100,100,"0",0
"DJI",2019,100,100,"0",0
"DMA",2019,100,100,"0",0
"DOM",2019,100,100,"0",0
"ECU",2019,100,100,"0",0
"EGY",2019,100,100,"0",0
"SLV",2019,100,100,"0",0
"GNQ",2019,100,100,"0",0
"EST",2019,100,100,"0",0
"SWZ",2019,100,100,"0",0
"ETH",2019,100,100,"0",0
"FJI",2019,100,100,"0",0
"FIN",2019,100,100,"0",0
"FRA",2019,100,100,"0",0
"PYF",2019,100,100,"0",0
"GAB",2019,100,100,"0",0
"GMB",2019,100,100,"0",0
"GEO",2019,100,100,"0",0
"DEU",2019,100,100,"0",0
"GHA",2019,100,100,"0",0
"GRC",2019,100,100,"0",0
"GRL",2019,100,100,"0",0
"GRD",2019,100,100,"0",0
"GUM",2019,100,100,"0",0
"GTM",2019,100,100,"0",0
"GIN",2019,100,100,"0",0
"GNB",2019,100,100,"0",0
"GUY",2019,100,100,"0",0
"HTI",2019,100,100,"0",0
"HND",2019,100,100,"0",0
"HKG",2019,100,100,"0",0
"HUN",2019,100,100,"0",0
"ISL",2019,100,100,"0",0
"IND",2019,100,100,"0",0
"IDN",2019,100,100,"0",0
"IRN",2019,100,100,"0",0
"IRQ",2019,100,100,"0",0
"IRL",2019,100,100,"0",0
"IMN",2019,100,100,"0",0
"ISR",2019,100,100,"0",0
"ITA",2019,100,100,"0",0
"JAM",2019,100,100,"0",0
"JPN",2019,100,100,"0",0
"JOR",2019,100,100,"0",0
"KAZ",2019,100,100,"0",0
"KEN",2019,100,100,"0",0
"KIR",2019,100,100,"0",0
"KOR",2019,100,100,"0",0
"XKX",2019,100,100,"0",0
"KWT",2019,100,100,"0",0
"KGZ",2019,100,100,"0",0
"LAO",2019,100,100,"0",0
"LVA",2019,100,100,"0",0
"LBN",2019,100,100,"0",0
"LSO",2019,100,100,"0",0
"LBR",2019,100,100,"0",0
"LBY",2019,100,100,"0",0
"LTU",2019,100,100,"0",0
"LUX",2019,100,100,"0",0
"MAC",2019,100,100,"0",0
"MDG",2019,100,100,"0",0
"MWI",2019,100,100,"0",0
"MYS",2019,100,100,"0",0
"MDV",2019,100,100,"0",0
"MLI",2019,100,100,"0",0
"MLT",2019,100,100,"0",0
"MHL",2019,100,100,"0",0
"MRT",2019,100,100,"0",0
"MUS",2019,100,100,"0",0
"MEX",2019,100,100,"0",0
"FSM",2019,100,100,"0",0
"MDA",2019,100,100,"0",0
"MCO",2019,100,100,"0",0
"MNG",2019,100,100,"0",0
"MNE",2019,100,100,"0",0
"MAR",2019,100,100,"0",0
"MOZ",2019,100,100,"0",0
"MMR",2019,100,100,"0",0
"NAM",2019,100,100,"0",0
"NRU",2019,100,100,"0",0
"NPL",2019,100,100,"0",0
"NLD",2019,100,100,"0",0
"NZL",2019,100,100,"0",0
"NIC",2019,100,100,"0",0
"NER",2019,100,100,"0",0
"NGA",2019,100,100,"0",0
"MKD",2019,100,100,"0",0
"MNP",2019,100,100,"0",0
"NOR",2019,100,100,"0",0
"OMN",2019,100,100,"0",0
"PAK",2019,100,100,"0",0
"PLW",2019,100,100,"0",0
"PAN",2019,100,100,"0",0
"PNG",2019,100,100,"0",0
"PRY",2019,100,100,"0",0
"PER",2019,100,100,"0",0
"PHL",2019,100,100,"0",0
"POL",2019,100,100,"0",0
"PRT",2019,100,100,"0",0
"PRI",2019,100,100,"0",0
"QAT",2019,100,100,"0",0
"ROU",2019,100,100,"0",0
"RUS",2019,100,100,"0",0
"RWA",2019,100,100,"0",0
"WSM",2019,100,100,"0",0
"SMR",2019,100,100,"0",0
"STP",2019,100,100,"0",0
"SAU",2019,100,100,"0",0
"SEN",2019,100,100,"0",0
"SRB",2019,100,100,"0",0
"SYC",2019,100,100,"0",0
"SLE",2019,100,100,"0",0
"SGP",2019,100,100,"0",0
"SVK",2019,100,100,"0",0
"SVN",2019,100,100,"0",0
"SLB",2019,100,100,"0",0
"SOM",2019,100,100,"0",0
"ZAF",2019,100,100,"0",0
"ESP",2019,100,100,"0",0
"LKA",2019,100,100,"0",0
"KNA",2019,100,100,"0",0
"LCA",2019,100,100,"0",0
"VCT",2019,100,100,"0",0
"SDN",2019,100,100,"0",0
"SUR",2019,100,100,"0",0
"SWE",2019,100,100,"0",0
"CHE",2019,100,100,"0",0
"SYR",2019,100,100,"0",0
"TJK",2019,100,100,"0",0
"TZA",2019,100,100,"0",0
"THA",2019,100,100,"0",0
"TLS",2019,100,100,"0",0
"TGO",2019,100,100,"0",0
"TON",2019,100,100,"0",0
"TTO",2019,100,100,"0",0
"TUN",2019,100,100,"0",0
"TUR",2019,100,100,"0",0
"TKM",2019,100,100,"0",0
"TCA",2019,100,100,"0",0
"TUV",2019,100,100,"0",0
"UGA",2019,100,100,"0",0
"UKR",2019,100,100,"0",0
"ARE",2019,100,100,"0",0
"GBR",2019,100,100,"0",0
"USA",2019,100,100,"0",0
"URY",2019,100,100,"0",0
"UZB",2019,100,100,"0",0
"VUT",2019,100,100,"0",0
"VNM",2019,100,100,"0",0
"VIR",2019,100,100,"0",0
"PSE",2019,100,100,"0",0
"ZMB",2019,100,100,"0",0
"ZWE",2019,100,100,"0",0
"AFG",2020,97.6488993265539,103,"-1181094929",-5.2
"ALB",2020,96.5183696268568,103.4,"-892388694",-7
"DZA",2020,94.8999999998131,101.9,"-12414891928",-6.869
"ASM",2020,105.065359477124,NA,NA,NA
"AND",2020,88.8160600644616,NA,NA,NA
"AGO",2020,94.3999999995806,101.5,"-5902850193",-6.995
"ATG",2020,79.8076294277934,103.322,"-383334994",-22.8
"ARG",2020,90.0567648655394,98.7,"-49391830896",-8.76
"ARM",2020,92.8,105.1,"-1582701969",-11.7
"ABW",2020,81.4109002235524,101,"-662285707",-19.395
"AUS",2020,99.949114663916,102.263,"-34518058409",-2.263
"AUT",2020,93.5460315331087,101.7,"-33775559573",-8.02
"AZE",2020,95.6999998976928,102.3,"-3538426678",-6.452
"BHS",2020,76.1773924101241,99.443,"-2925595896",-23.4
"BHR",2020,95.064145020585,102.1,"-2461511114",-6.89
"BGD",2020,103.448021454827,107.2,"-9675171883",-3.5
"BRB",2020,86.6889784741766,100.6,"-669143931",-13.83
"BLR",2020,99.3003923863543,100.9,"-943984026",-1.59
"BEL",2020,94.6386133666515,101.3,"-32984364111",-6.576
"BLZ",2020,86.5970409051348,102.1,"-356338601",-15.18
"BEN",2020,103.848523092436,106.7,"-404333933",-2.67
"BMU",2020,93.1620448086341,NA,NA,NA
"BTN",2020,89.9903007399414,105.6,"-385707007",-14.8
"BOL",2020,91.2621155660086,103,"-4483077206",-11.396
"BIH",2020,96.880709484642,103.4,"-1199839501",-6.305
"BWA",2020,91.2735913739952,104.1,"-2079380234",-12.321
"BRA",2020,96.1213236660276,102,"-106973415294",-5.76
"BRN",2020,101.133573349525,104.702,"-473845542",-3.41
"BGR",2020,96.0413854018931,103,"-3997325595",-7
"BFA",2020,101.930324889572,106,"-610517563",-3.84
"BDI",2020,100.327156891263,102,"-53662071",-1.64
"CPV",2020,85.2165949898856,105,"-378876694",-18.84
"KHM",2020,96.9039932693883,106.8,"-2351297322",-9.27
"CMR",2020,100.259932915912,104.2,"-1477606586",-3.781
"CAN",2020,94.7669756971944,101.761,"-118630057822",-6.873
"CYM",2020,94.3160243847293,NA,NA,NA
"CAF",2020,100.899999996857,104.969,"-80847341",-3.88
"TCD",2020,98.3999932629449,105.5,"-747350775",-6.7
"CHL",2020,94.0217759382564,102.5,"-22219794262",-8.27
"CHN",2020,102.239701856923,105.9,"-523288829170",-3.46
"COL",2020,92.9518487921344,103.6,"-34222516940",-10.28
"COM",2020,99.80444317285,104.8,"-54593632",-4.767
"COD",2020,101.735422763601,103.9,"-962969714",-2.08
"COG",2020,93.7606803680242,104.6,"-1045711952",-10.36
"CRI",2020,95.9490918293273,102.5,"-4217637836",-6.391
"CIV",2020,101.978821183044,107,"-3005757444",-4.693
"HRV",2020,91.4196569789378,102.6,"-6395813648",-10.9
"CUB",2020,89.0516590258382,NA,NA,NA
"CUW",2020,81.5615281506056,NA,NA,NA
"CYP",2020,95.6275258142479,102.885,"-1815245805",-7.054
"DNK",2020,98.0053924314963,101.905,"-12970193951",-3.827
"DJI",2020,101.202022032965,107.5,"-190748786",-5.9
"DMA",2020,83.395088462217,104.935,"-122104240",-20.5
"DOM",2020,93.2797606271659,105,"-10464696013",-11
"ECU",2020,92.2123929090657,100.2,"-8123567366",-7.972
"EGY",2020,103.569669475049,105.8,"-8877550285",-2.11
"SLV",2020,91.8227825623724,102.5,"-2752562643",-10.417
"GNQ",2020,95.7585186786832,97.7,"-195144630",-2
"EST",2020,99.4489987422528,102.9,"-928169520",-3.3537
"SWZ",2020,98.4403574100052,102.6,"-183225444",-4.054
"ETH",2020,106.059530886434,106.3,"-215556563",-0.226
"FJI",2020,82.9997649802258,101.7,"-975406002",-18.39
"FIN",2020,97.7948606271778,101.465,"-9349465705",-3.62
"FRA",2020,92.2154135083212,101.263,"-236758372970",-8.93
"PYF",2020,90,NA,NA,NA
"GAB",2020,98.1622389364911,103,"-747929549",-4.7
"GMB",2020,100.591487287874,106.3,"-95761877",-5
"GEO",2020,93.239560182945,104.3,"-1964102200",-10.6044
"DEU",2020,96.3032112946198,101.247,"-177810570168",-4.88
"GHA",2020,100.513941648321,106.8,"-3926630954",-5.89
"GRC",2020,90.9959563579784,102.22,"-22887252533",-10.98
"GRL",2020,100.356531660011,NA,NA,NA
"GRD",2020,86.2440705469358,102.9,"-189034863",-16.19
"GUM",2020,88.6078188572439,NA,NA,NA
"GTM",2020,98.2359170743604,103,"-3372220789",-4.6253
"GIN",2020,104.920266372433,106,"-130381169",-1.02
"GNB",2020,97.6000000007827,104.9,"-91157241",-7
"GUY",2020,143.47955593994,186.7,"-2191726718",-23.1
"HTI",2020,96.6566273882403,98.6,"-300720470",-1.97
"HND",2020,91.0352398159543,103.5,"-3036458522",-12
"HKG",2020,93.454991760673,101.464,"-26573246339",-7.89
"HUN",2020,95.452736176768,103,"-11122773254",-7.327
"ISL",2020,93.1577039744208,101.631,"-1766066023",-8.34
"IND",2020,93.4039194776785,105.8,"-332927464904",-12
"IDN",2020,97.9349950590708,105.1,"-75184563320",-6.82
"IRN",2020,103.330288459266,100,"14463534304",3.33
"IRQ",2020,88.6758007383813,105.1,"-33138350668",-15.627
"IRL",2020,106.184538038816,103.501,"9962804081",2.6
"ISR",2020,98.1427107218874,103.069,"-17658788997",-4.7796
"ITA",2020,90.9600465887714,100.537,"-183701061371",-9.53
"JAM",2020,90.0000000000001,101.1,"-1657688239",-11
"JPN",2020,95.4930954577336,100.7,"-237906256502",-5.17
"JOR",2020,98.4305266392019,102.2,"-1579267001",-4
"KAZ",2020,97.5000000000002,103.7,"-13088632266",-5.979
"KEN",2020,99.7498442950316,106,"-5266690237",-5.896
"KIR",2020,99.4529962041632,102.348,"-5124686",-2.829
"KOR",2020,99.290584640602,102.218,"-47946674757",-2.864
"XKX",2020,94.6597246977021,104.2,"-720044706",-9.2
"KWT",2020,91.1447210765092,102.2,"-12654148476",-10.82
"KGZ",2020,91.6016357043827,104,"-982027831",-11.922
"LAO",2020,100.503031829708,105.8,"-979507177",-5
"LVA",2020,97.7970146617488,102.794,"-1536813554",-4.861
"LBN",2020,78.6001000755371,100.3,"-10120171511",-21.6
"LSO",2020,91.6436042662066,100.7,"-216609918",-8.993
"LBR",2020,97.0175087235051,101.4,"-140736435",-4.322
"LBY",2020,76.0702175524204,99.964,"-14563312595",-23.9
"LTU",2020,99.9782370259963,102.718,"-1320513055",-2.67
"LUX",2020,99.2025644107774,102.774,"-2363294007",-3.475
"MAC",2020,45.7640999795252,98.936,"-27157005603",-53.7
"MDG",2020,92.8623283784739,105.3,"-1640076199",-12
"MWI",2020,100.799998330903,104.8,"-299097858",-3.8
"MYS",2020,94.4655437823747,104.5,"-36585793701",-9.6
"MDV",2020,66.5072042135119,105.5,"-2115377402",-37
"MLI",2020,98.7645495529227,105,"-999464207",-5.94
"MLT",2020,91.6757167680279,104.316,"-1807926542",-12.117
"MHL",2020,98.1584035759955,102.302,"-9238285",-4.05
"MRT",2020,99.0614838494758,105.7,"-486015509",-6.28
"MUS",2020,85.4026015693124,103.9,"-2565839304",-17.8
"MEX",2020,92.0120876598523,101.2,"-115084774325",-9
"FSM",2020,98.2345848477487,100.778,"-8455801",-2.52
"MDA",2020,92.6198178462951,103.6,"-1005287303",-10.6
"MCO",2020,87.0348652931854,NA,NA,NA
"MNG",2020,95.4422480266234,105.5,"-1425642722",-9.53
"MNE",2020,84.6931062429594,103.1,"-879804678",-17.853
"MAR",2020,92.8129204185074,103.5,"-13214846725",-10.326
"MOZ",2020,98.7660942892994,103.7,"-897161215",-4.758
"MMR",2020,103.173774400411,106.7,"-2950992076",-3.3
"NAM",2020,91.9637863383654,100.9,"-1004994294",-9
"NRU",2020,101.149425287356,100.734,"372304",0.412
"NPL",2020,97.6303793734715,106.4,"-2683967948",-8.24
"NLD",2020,96.1139160818038,101.639,"-46424541301",-5.436
"NZL",2020,98.7473354705763,102.699,"-7988317424",-3.85
"NIC",2020,98.2100245558288,99.5,"-167404968",-1.3
"NER",2020,103.550227506162,106,"-299169112",-2.3
"NGA",2020,98.2057469176641,102.1,"-19836228215",-3.81
"MKD",2020,93.889113288973,103.2,"-1041468293",-9.02
"NOR",2020,99.2828173307552,102.441,"-12837003120",-3.08
"OMN",2020,96.6202856000776,103.7,"-5879957015",-6.83
"PAK",2020,98.7259125566129,102.4,"-11919180305",-3.59
"PLW",2020,90.8927931158121,101.8,"-29465836",-10.7
"PAN",2020,82.0551064027506,104.2,"-14174179798",-21.25
"PNG",2020,96.8326188237033,102.9,"-1499848081",-5.9
"PRY",2020,99.1802146090282,103.1,"-1594451124",-3.8
"PER",2020,89.0473010674983,103.2,"-30431158572",-13.71
"PHL",2020,90.481705259301,106.1,"-61883555154",-14.72
"POL",2020,97.9799292664235,103.6,"-32118879427",-5.42
"PRT",2020,91.6994839577884,101.6,"-22015023237",-9.745
"PRI",2020,95.6465736633808,99.307,"-3528275753",-3.69
"QAT",2020,96.3595502015078,101.5,"-8611031054",-5.064
"ROU",2020,96.3224892087822,103.4,"-15427922040",-6.84
"RUS",2020,97.3362424888861,101.6,"-62316952930",-4.2
"RWA",2020,96.641146680361,108.1,"-1281431770",-10.6
"WSM",2020,96.8915559894686,104.399,"-70337637",-7.19
"SMR",2020,93.3520891821939,100.699,"-110843948",-7.296
"STP",2020,103.024567669028,103.5,"-1710382",-0.46
"SAU",2020,95.8623296244738,101.9,"-41003463036",-5.925
"SEN",2020,101.325505140874,106.8,"-1235080762",-5.13
"SRB",2020,99.0967814984793,103.9,"-2191020559",-4.62
"SYC",2020,92.3073275306639,103.3,"-182351635",-10.64
"SLE",2020,98.0310521795416,104.9,"-348716680",-6.55
"SGP",2020,95.8568943787387,100.993,"-17969069740",-5.086
"SVK",2020,96.6253182340996,102.7,"-6044141266",-5.91
"SVN",2020,95.6786300954892,102.936,"-3656488433",-7.05
"SLB",2020,96.617952515345,102.8,"-91968546",-6.014
"SOM",2020,102.489374345544,103.2,"-48661635",-0.69
"ZAF",2020,93.657528851717,100.9,"-26037957350",-7.178
"ESP",2020,88.674561677713,101.847,"-174392346552",-12.93
"LKA",2020,96.5277031809711,103.3,"-6583163846",-6.56
"KNA",2020,85.4679270088785,103.5,"-190460406",-17.422
"LCA",2020,75.6353812179776,103.2,"-546176833",-26.71
"VCT",2020,94.687353769769,102.3,"-65602595",-7.44
"SDN",2020,96.3701990757423,98.6,"-1879820397",-2.261
"SUR",2020,84.0248036065622,102.5,"-971107575",-18.02
"SWE",2020,97.8297868211413,101.462,"-19970681063",-3.58
"CHE",2020,97.6244367203235,101.26,"-27161648925",-3.5903
"SYR",2020,96.1263183136112,NA,NA,NA
"TJK",2020,104.400049702475,105.5,"-120374628",-1
"TZA",2020,101.996343506277,105.8,"-2294310437",-3.595
"THA",2020,93.8045108404192,102.7,"-40953068454",-8.66
"TLS",2020,131.914487165902,104.6,"535393638",26.11
"TGO",2020,101.752824967191,105.5,"-191041301",-3.552
"TON",2020,100.488645323314,103.682,"-15512159",-3.1
"TTO",2020,92.3216688394766,101.492,"-2171119887",-9.04
"TUN",2020,91.3788645131928,102.2,"-5333404007",-10.588
"TUR",2020,101.940032245491,103,"-10561406374",-1
"TCA",2020,73.2171230725797,NA,NA,NA
"TUV",2020,101.515151515152,104.38,"-1313273",-2.74
"UGA",2020,102.951306421594,106.5,"-1405284332",-3.332
"UKR",2020,96.2471959000502,103.7,"-7597694769",-7.187
"ARE",2020,95.0429475634725,102.6,"-30480331567",-7.37
"GBR",2020,88.9691415448022,101.448,"-396099400746",-12.3
"USA",2020,97.2321974885942,101.8,"-910316229546",-4.487
"URY",2020,93.87852372001,102.5,"-4786069818",-8.41
"UZB",2020,101.886245258789,105.7,"-4048736761",-3.608
"VUT",2020,94.6037457852832,103.1,"-73424554",-8.241
"VNM",2020,102.865411946121,106.5,"-11447049967",-3.412759
"VIR",2020,97.8529931800959,NA,NA,NA
"PSE",2020,88.6815338934866,102.5,"-2187325000",-13
"ZMB",2020,97.2149449345484,102.6,"-1297252315",-5.248592
"ZWE",2020,92.1830493531866,102.7,"-2168708665",-10.24
"ABW",2021,95.384267137923,102.111,"-227423367",-6.588
"AFG",2021,77.4355771659573,106.605,"-6438274946",-27.4
"AGO",2021,95.1551999995773,103.936,"-7300246053",-8.448
"ALB",2021,104.72243104514,107.1224,"-311220604",-2
"ARE",2021,98.7496225184479,105.678,"-27944657607",-6.56
"ARG",2021,99.4226684115555,100.0818,"-3766612321",-0.66
"ARM",2021,98.0896,110.5652,"-1605297292",-11.28
"ATG",2021,84.0134914986381,105.91434898,"-357031248",-20.7
"AUS",2021,104.852618229328,104.90343066,"-758009233",-0.048
"AUT",2021,97.850084443947,103.27635,"-22476804551",-5.25
"AZE",2021,101.059199891964,104.4483,"-1816982129",-3.245
"BDI",2021,102.133045715306,104.142,"-64443968",-1.929
"BEL",2021,100.548794771399,102.621965,"-10265460549",-2.02
"BEN",2021,111.325616755092,113.8489,"-357796704",-2.22
"BFA",2021,108.963517306952,112.36,"-509527734",-3.02
"BGD",2021,110.585934935211,115.0256,"-11448498996",-3.86
"BGR",2021,103.340530692437,106.193,"-1638580268",-3
"BHR",2021,97.1555562110379,104.5504,"-2587104230",-7.07
"BHS",2021,86.6136951703112,101.53229743,"-1875979442",-14.7
"BIH",2021,104.14676269599,107.4326,"-604740252",-3.059
"BLR",2021,101.882202588399,101.4045,"281908894",0.47
"BLZ",2021,100.712358572672,103.9378,"-74137413",-3.1
"BOL",2021,96.8291046155351,106.296,"-3615713134",-8.906
"BRA",2021,100.927389849329,104.55,"-65920108215",-3.46
"BRB",2021,87.2958013234958,102.109,"-712540196",-14.51
"BRN",2021,99.5245381975337,108.4660369,"-1187326998",-8.24
"BTN",2021,87.0206208155233,113.6256,"-657394273",-23.4
"BWA",2021,101.678780790631,108.4722,"-1101329455",-6.263
"CAF",2021,101.908999996826,110.17861147,"-164309683",-7.51
"CAN",2021,99.070344063604,103.54792316,"-75947043378",-4.324
"CHE",2021,101.753950393593,102.900412,"-8565326818",-1.1141
"CHL",2021,105.022323723032,105.575,"-1448458201",-0.52
"CHN",2021,110.521117707334,112.0422,"-217459163404",-1.36
"CIV",2021,109.117338665857,114.597,"-3280212365",-4.782
"CMR",2021,103.869290500885,108.6806,"-1804340498",-4.427
"COD",2021,108.043018974944,107.4326,"271561105",0.57
"COG",2021,91.6979453999277,106.5874,"-1436444460",-13.97
"COL",2021,102.897696612893,107.6404,"-15242763165",-4.41
"COM",2021,102.000140922653,108.6776,"-72974196",-6.144
"CPV",2021,91.1817566391775,110.25,"-365180464",-17.3
"CRI",2021,103.433120992015,105.575,"-1378995051",-2.029
"CYP",2021,100.968323130974,105.6752412,"-1177298473",-4.4541
"DEU",2021,98.8311705911036,102.70394433,"-139289955069",-3.77
"DJI",2021,105.553708980383,116.1,"-319418743",-9.1
"DMA",2021,88.8157692122612,109.31183885,"-116186968",-18.8
"DNK",2021,102.765514341894,103.66082315,"-2977819866",-0.864
"DOM",2021,104.753171184307,110.25,"-4907975064",-5
"DZA",2021,98.2214999998065,104.1418,"-10499983526",-5.685
"ECU",2021,96.0853134112464,101.0016,"-4999968681",-4.868
"EGY",2021,106.987468567725,112.148,"-20540846648",-4.6
"ESP",2021,93.2226799461629,103.58043594,"-137128246767",-10
"EST",2021,107.41784701147,105.7812,"440186995",1.5472
"ETH",2021,112.741281332279,113.1032,"-324423968",-0.32
"FIN",2021,100.751199263937,102.9605941,"-5628304309",-2.15
"FJI",2021,78.7667769662343,104.6493,"-1350034815",-24.73
"FRA",2021,98.4547083862942,102.61789894,"-108942890214",-4.06
"FSM",2021,95.0910781326207,101.52476498,"-21389341",-6.34
"GAB",2021,99.6346725205384,106.296,"-1029857323",-6.27
"GBR",2021,95.5893353671509,103.01334264,"-235650147204",-7.21
"GEO",2021,102.936474441971,108.9935,"-1075600737",-5.5572
"GHA",2021,105.94169449733,112.3536,"-4005242270",-5.71
"GIN",2021,109.012156760958,112.36,"-404262406",-2.98
"GMB",2021,104.916921241253,112.4654,"-126627815",-7
"GNB",2021,102.480000000822,110.145,"-95715103",-7
"GNQ",2021,94.2263823798243,98.677,"-447346116",-4.5
"GRC",2021,98.5813792799795,103.9648954,"-10977674079",-5.18
"GRD",2021,90.2975418626418,105.8841,"-176898136",-14.72
"GTM",2021,106.094790440309,106.296,"-142424696",-0.1893
"GUY",2021,172.175467127928,206.3035,"-1730646760",-16.5
"HKG",2021,99.3828418880526,103.96102904,"-15190057412",-4.4
"HND",2021,102.414644792949,107.1225,"-1146849747",-4
"HRV",2021,103.395632043179,105.0624,"-953489283",-1.59
"HTI",2021,94.916808095252,98.107,"-493655206",-3.25
"HUN",2021,102.229880445318,105.678,"-5081663085",-3.263
"IDN",2021,101.558589876256,110.5652,"-94509083348",-8.15
"IND",2021,101.530060472237,112.2538,"-288012602761",-10
"IRL",2021,120.61289306753,106.7612815,"51424980851",13
"IRN",2021,108.186812016851,101,"31212522102",7.12
